,fbest,first,freq,sol,time
39,[152.89006598],100,"49.99531265957372, 320.3147734802909, 466.0134734219756, 497.3944391841765, 967.6458242467124, 1397.4779201323702",0000000000001001000000000000000000001111,1205.4382061958313
40,[157.03450886],100,"50.33140137759792, 331.24621260528824, 453.59516180356104, 505.21379637334064, 979.1199939899341, 1457.5792538033518",0000000000000010100000000000000000001111,1263.2165322303772
41,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1310.272034406662
42,[154.28829979],100,"46.715313322787445, 323.44850419647446, 435.8183139182877, 470.40165178740295, 1006.6714336733899, 1453.1503479062867",0000000000001001000000000000000011011111,1092.305878162384
43,[152.78501992],100,"49.05985391277912, 320.82261412401203, 455.0891649126866, 481.96910100127064, 953.9946960707802, 1447.452215286745",0000000000000001000000000000000000001111,1291.7558608055115
44,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1431.0420083999634
45,[153.22906896],100,"46.34830231885921, 321.5850768698506, 431.29794431052835, 449.88457572818476, 952.5687269016851, 1533.7243368941567",0000000000000000000000000000000010001111,1357.2160818576813
46,[152.04599572],100,"48.731912933925706, 329.9887287041588, 453.7020893107461, 483.537391262471, 939.9791185067486, 1425.9805961113696",0000000000000000100100000000000000001111,1338.965604543686
47,[151.48964584],100,"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",0000000000000000000000000000000000001111,1258.5301747322083
48,[153.47226511],100,"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",0000000000000000000000000000000011111111,1383.9267308712006
49,[154.28829979],100,"46.715313322787445, 323.44850419647446, 435.8183139182877, 470.40165178740295, 1006.6714336733899, 1453.1503479062867",0000000000001001000000000000000011011111,1239.7403223514557
